br,sr,ir,bd,sd,id,ba,sa,ia,bn,sn,in
0.0006286039997576154,0.0005647084999509389,0.0005548125000132131,3.099950026808074e-05,1.4250000276661012e-05,1.3249999483377906e-05,5.750499440182466e-06,1.204249974762206e-05,6.208000286278548e-06,1.8729000657913275e-05,1.4063000435271533e-05,9.520499133941485e-06,
0.0011408744999243936,0.0011288960004094406,0.001088937499844178,0.00010670849997040932,3.391650034245686e-05,3.6958500004402595e-05,9.45799956753035e-06,3.0645499464299064e-05,1.0603999726299662e-05,2.7916500130231725e-05,3.245800007789512e-05,1.735399928293191e-05,
0.0016588544999649457,0.0016311455001414288,0.0015438335003636894,0.00021835450024809688,5.9875000260944944e-05,6.891699968036846e-05,1.2854000033257762e-05,5.681250013367389e-05,1.4521000139211537e-05,7.12709997969796e-05,5.995800029268139e-05,2.7020500056096353e-05,
0.002133833500010951,0.001988874999824475,0.0018805834997692727,0.00037064549997012364,9.064549976756098e-05,0.00010629250027704984,1.489650003350107e-05,8.260350068667321e-05,1.7229499917448265e-05,0.00011181250010849908,8.547900006306008e-05,3.397899990886799e-05,
